Conflict,Start date,End date,Participant 1,Participant 2,Participant 3,Participant 4,Participant 5,Participant 6,Participant 7,Participant 8,Participant 9,Participant 10,Participant 11,Participant 12,Participant 13,Participant 14,Participant 15,Participant 16,Participant 17,Participant 18,Participant 19,Participant 20
Vietnam War,1959-01-01T00:00:00Z,1959-01-01T00:00:00Z,People's Republic of China,Colombia,New Zealand,Thailand,Kingdom of Laos,United States of America,North Korea,Philippines,Khmer Republic,North Vietnam,South Korea,Republic of Vietnam,Australia,Kingdom of Cambodia,,,,,,
Sino-Vietnamese War,1979-02-17T00:00:00Z,1979-02-17T00:00:00Z,People's Republic of China,Vietnam,,,,,,,,,,,,,,,,,,
Cambodian–Vietnamese War,1977-04-30T00:00:00Z,1977-04-30T00:00:00Z,Vietnam,Democratic Kampuchea,Thailand,,,,,,,,,,,,,,,,,
Angolan Civil War,1975-11-11T00:00:00Z,1975-11-11T00:00:00Z,Cuba,South Africa,,,,,,,,,,,,,,,,,,
War in Donbas,2014-04-06T00:00:00Z,2014-04-06T00:00:00Z,Ukraine,Russia,,,,,,,,,,,,,,,,,,
Soviet–Afghan War,1979-12-25T00:00:00Z,1979-12-25T00:00:00Z,Soviet Union,Democratic Republic of Afghanistan,,,,,,,,,,,,,,,,,,
Kosovo War,1998-02-27T00:00:00Z,1998-02-27T00:00:00Z,Italy,Germany,Turkey,United Kingdom,Hungary,Czech Republic,Iceland,Albania,Luxembourg,Spain,Federal Republic of Yugoslavia,Poland,Belgium,Portugal,France,Canada,Norway,United States of America,Denmark,Netherlands
Russo-Georgian War,2008-08-07T00:00:00Z,2008-08-07T00:00:00Z,Russia,Georgia,South Ossetia,,,,,,,,,,,,,,,,,
First Chechen War,1994-12-11T00:00:00Z,1994-12-11T00:00:00Z,Russia,Chechen Republic of Ichkeria,,,,,,,,,,,,,,,,,,
War in Afghanistan,2015-01-01T00:00:00Z,2015-01-01T00:00:00Z,Georgia,United Kingdom,Czech Republic,Germany,Australia,Turkey,Italy,Romania,United States of America,Poland,,,,,,,,,,
War of Attrition,1967-07-01T00:00:00Z,1969-03-01T00:00:00Z,Soviet Union,Cuba,Egypt,Jordan,Israel,Syria,,,,,,,,,,,,,,
War in Abkhazia,1992-08-14T00:00:00Z,1992-08-14T00:00:00Z,Russia,Georgia,,,,,,,,,,,,,,,,,,
Invasion of Dagestan,1999-08-02T00:00:00Z,1999-08-02T00:00:00Z,Russia,,,,,,,,,,,,,,,,,,,
Second Chechen War,1999-08-26T00:00:00Z,1999-08-26T00:00:00Z,Russia,Georgia,Chechen Republic of Ichkeria,,,,,,,,,,,,,,,,,
War of Transnistria,1992-03-02T00:00:00Z,1992-03-02T00:00:00Z,Russia,Ukraine,Transnistria,Moldova,,,,,,,,,,,,,,,,
Korean War,1950-06-25T00:00:00Z,1950-06-25T00:00:00Z,Colombia,Greece,People's Republic of China,Soviet Union,Turkey,United Kingdom,New Zealand,Ethiopia,Luxembourg,North Korea,Philippines,South Korea,Australia,Belgium,Thailand,South Africa,France,Canada,United States of America,Netherlands
Indochina Wars,1946-01-01T00:00:00Z,1946-01-01T00:00:00Z,Vietnam,People's Republic of China,Laos,Democratic Kampuchea,New Zealand,Philippines,Khmer Republic,North Vietnam,South Korea,Republic of Vietnam,Australia,Thailand,Kingdom of Laos,United States of America,North Korea,State of Vietnam,Kingdom of Cambodia,,,
Ogden War,1977-07-23T00:00:00Z,1977-07-23T00:00:00Z,Soviet Union,Cuba,Ethiopia,Somalia,South Yemen,,,,,,,,,,,,,,,
Tajikistani Civil War,1992-05-05T00:00:00Z,1992-05-05T00:00:00Z,Russia,Kazakhstan,Uzbekistan,Tajikistan,Kyrgyzstan,,,,,,,,,,,,,,,
First Nagorno-Karabakh War,1988-02-20T00:00:00Z,1988-02-20T00:00:00Z,Soviet Union,Azerbaijan,Armenia,Armenian Soviet Socialist Republic,Azerbaijan Soviet Socialist Republic,,,,,,,,,,,,,,,
War on Terror,2001-09-11T00:00:00Z,2001-09-11T00:00:00Z,Russia,People's Republic of China,United Kingdom,France,United States of America,Islamic State,,,,,,,,,,,,,,
Sand War,1963-09-25T00:00:00Z,1963-09-25T00:00:00Z,Cuba,Algeria,Egypt,Morocco,France,,,,,,,,,,,,,,,
North Yemen Civil War,1962-09-26T00:00:00Z,1962-09-26T00:00:00Z,United Arab Republic,Yemen Arab Republic,Saudi Arabia,Mutawakkilite Kingdom of Yemen,,,,,,,,,,,,,,,,
Croatian War of Independence,1991-03-31T00:00:00Z,1991-03-31T00:00:00Z,Croatia,Socialist Federal Republic of Yugoslavia,,,,,,,,,,,,,,,,,,
Croat–Bosniak War,1992-06-19T00:00:00Z,1992-06-19T00:00:00Z,Croatia,,,,,,,,,,,,,,,,,,,
Sri Lankan Civil War,1983-07-23T00:00:00Z,1983-07-23T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Kivu conflict,2004-01-01T00:00:00Z,2004-01-01T00:00:00Z,Botswana,Zimbabwe,Angola,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
Afghanistan–Pakistan skirmishes,1949-01-01T00:00:00Z,1949-01-01T00:00:00Z,Afghanistan,Pakistan,,,,,,,,,,,,,,,,,,
Republic of the Congo Civil War,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z,Chad,Rwanda,Angola,Republic of the Congo,,,,,,,,,,,,,,,,
War in Somalia (2006-2009),2006-12-20T00:00:00Z,2006-12-20T00:00:00Z,Ethiopia,,,,,,,,,,,,,,,,,,,
Second Congo War,1998-08-02T00:00:00Z,1998-08-02T00:00:00Z,Rwanda,Burundi,Zimbabwe,Chad,Uganda,Sudan,Democratic Republic of the Congo,Namibia,Angola,,,,,,,,,,,
Nagorno-Karabakh War,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,Azerbaijan,Armenia,,,,,,,,,,,,,,,,,,
Chadian–Libyan conflict,1978-01-01T00:00:00Z,1978-01-01T00:00:00Z,Chad,Zaire,France,,,,,,,,,,,,,,,,,
Agacher Strip War,1985-12-14T00:00:00Z,1985-12-14T00:00:00Z,Burkina Faso,Mali,,,,,,,,,,,,,,,,,,
Georgia War,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,Georgia,,,,,,,,,,,,,,,,,,,
Insurgency in Khyber Pakhtunkhwa,2004-03-16T00:00:00Z,2004-03-16T00:00:00Z,United Kingdom,United States of America,Pakistan,Islamic State,,,,,,,,,,,,,,,,
Lord's Resistance Army insurgency,1987-01-01T00:00:00Z,1987-01-01T00:00:00Z,Uganda,Central African Republic,South Sudan,Democratic Republic of the Congo,,,,,,,,,,,,,,,,
Bosnian War,1992-04-06T00:00:00Z,1992-04-06T00:00:00Z,Croatia,,,,,,,,,,,,,,,,,,,
First Rwanda War,1963-01-01T00:00:00Z,1963-01-01T00:00:00Z,Rwanda,,,,,,,,,,,,,,,,,,,
Eelam War II,1990-06-10T00:00:00Z,1990-06-10T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Insurgency in the Maghreb (2002–),2002-04-11T00:00:00Z,2002-04-11T00:00:00Z,Niger,Chad,Mali,Algeria,Mauritania,Tunisia,France,Libya,Islamic State,,,,,,,,,,,
First Congo War,1996-10-24T00:00:00Z,1996-10-24T00:00:00Z,Rwanda,Burundi,Uganda,Angola,Zaire,,,,,,,,,,,,,,,
Eritrean–Ethiopian War,1998-05-06T00:00:00Z,1998-05-06T00:00:00Z,Ethiopia,Eritrea,,,,,,,,,,,,,,,,,,
2nd Sudanese Civil War,1983-06-05T00:00:00Z,1983-06-05T00:00:00Z,Uganda,Zaire,Sudan,,,,,,,,,,,,,,,,,
Indonesian invasion of East Timor,1975-12-07T00:00:00Z,1975-12-07T00:00:00Z,Indonesia,East Timor,,,,,,,,,,,,,,,,,,
2003 invasion of Iraq,2003-03-20T00:00:00Z,2003-03-20T00:00:00Z,United Kingdom,Poland,Australia,United States of America,Ba'athist Iraq,,,,,,,,,,,,,,,
Ethiopian-Somali border conflict,1960-01-01T00:00:00Z,1960-01-01T00:00:00Z,Ethiopia,Somalia,,,,,,,,,,,,,,,,,,
Eastern Theater of Eelam War IV,2006-07-21T00:00:00Z,2006-07-21T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Indonesia–Malaysia confrontation,1963-01-20T00:00:00Z,1963-01-20T00:00:00Z,Indonesia,Malaysia,,,,,,,,,,,,,,,,,,
Eelam War III,1995-04-19T00:00:00Z,1995-04-19T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Gulf War,1990-08-02T00:00:00Z,1990-08-02T00:00:00Z,United Kingdom,Saudi Arabia,France,United States of America,Ba'athist Iraq,Kuwait,,,,,,,,,,,,,,
First Uganda War,1966-01-01T00:00:00Z,1966-01-01T00:00:00Z,Uganda,,,,,,,,,,,,,,,,,,,
Eelam War I,1983-07-23T00:00:00Z,1983-07-23T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Dniestrian Independence War,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,Moldova,Transnistria,,,,,,,,,,,,,,,,,,
Uganda–Tanzania War,1978-01-01T00:00:00Z,1978-01-01T00:00:00Z,Uganda,Tanzania,,,,,,,,,,,,,,,,,,
First Burundi War,1972-01-01T00:00:00Z,1972-01-01T00:00:00Z,Burundi,,,,,,,,,,,,,,,,,,,
Falklands War,1982-04-02T00:00:00Z,1982-04-02T00:00:00Z,United Kingdom,Argentina,,,,,,,,,,,,,,,,,,
First Chad (FROLINAT) Rebellion,1966-01-01T00:00:00Z,1966-01-01T00:00:00Z,Chad,France,,,,,,,,,,,,,,,,,,
Indian intervention in the Sri Lankan Civil War,1987-07-29T00:00:00Z,1987-07-29T00:00:00Z,Sri Lanka,,,,,,,,,,,,,,,,,,,
Suez Crisis,1956-10-29T00:00:00Z,1956-10-29T00:00:00Z,United Kingdom,Egypt,Israel,France,,,,,,,,,,,,,,,,
1982 Lebanon War,1982-06-06T00:00:00Z,1982-06-06T00:00:00Z,Israel,Syria,,,,,,,,,,,,,,,,,,
Gaza War,2008-12-27T00:00:00Z,2008-12-27T00:00:00Z,Israel,,,,,,,,,,,,,,,,,,,
Kachin conflict,1961-02-05T00:00:00Z,1961-02-05T00:00:00Z,Myanmar,"Post-independence Burma, 1948–1962",,,,,,,,,,,,,,,,,,
First Indochina War,1946-12-19T00:00:00Z,1946-12-19T00:00:00Z,Kingdom of Laos,Kingdom of Cambodia,State of Vietnam,,,,,,,,,,,,,,,,,
1947–1949 Palestine war,1947-11-30T00:00:00Z,1947-11-30T00:00:00Z,Lebanon,Jordan,Israel,Kingdom of Egypt,First Syrian Republic,Kingdom of Iraq,,,,,,,,,,,,,,
Yom Kippur War,1973-10-06T00:00:00Z,1973-10-06T00:00:00Z,Syria,Egypt,Israel,United States of America,,,,,,,,,,,,,,,,
Mexican Drug War,2006-12-11T00:00:00Z,2006-12-11T00:00:00Z,Mexico,,,,,,,,,,,,,,,,,,,
Kashmir conflict,1947-10-22T00:00:00Z,1947-10-22T00:00:00Z,India,Pakistan,,,,,,,,,,,,,,,,,,
Cabinda Conflict,1975-11-08T00:00:00Z,1975-11-08T00:00:00Z,Angola,,,,,,,,,,,,,,,,,,,
Indo-Pakistani War of 1965,1965-08-01T00:00:00Z,1965-08-01T00:00:00Z,India,Pakistan,,,,,,,,,,,,,,,,,,
1964 Ethiopian-Somali Border War,1964-02-01T00:00:00Z,1964-02-01T00:00:00Z,Somali Republic,Ethiopian Empire,,,,,,,,,,,,,,,,,,
Djiboutian Civil War,1991-10-01T00:00:00Z,1991-10-01T00:00:00Z,Djibouti,,,,,,,,,,,,,,,,,,,
Darfur conflict,2003-02-26T00:00:00Z,2003-02-26T00:00:00Z,Sudan,,,,,,,,,,,,,,,,,,,
Laotian Civil War,1953-11-09T00:00:00Z,1959-05-23T00:00:00Z,Kingdom of Laos,United States of America,North Vietnam,Republic of Vietnam,Thailand,,,,,,,,,,,,,,,
Iran–Iraq War,1980-09-22T00:00:00Z,1980-09-22T00:00:00Z,Sudan,Iraq,Iran,,,,,,,,,,,,,,,,,
First Guatemala War,1966-01-01T00:00:00Z,1966-01-01T00:00:00Z,United States of America,Guatemala,,,,,,,,,,,,,,,,,,
Second Guatemala War,1970-01-01T00:00:00Z,1970-01-01T00:00:00Z,Guatemala,,,,,,,,,,,,,,,,,,,
Iraqi Civil War (2014–2017),2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,Iran,Syria,Islamic State,,,,,,,,,,,,,,,,,
Cambodian Civil War,1967-03-11T00:00:00Z,1967-03-11T00:00:00Z,Khmer Republic,North Vietnam,Republic of Vietnam,United States of America,Kingdom of Cambodia,,,,,,,,,,,,,,,
Green March,1975-11-06T00:00:00Z,1975-11-06T00:00:00Z,Spain,Morocco,,,,,,,,,,,,,,,,,,
Third Guatemala War,1978-01-01T00:00:00Z,1978-01-01T00:00:00Z,Guatemala,,,,,,,,,,,,,,,,,,,
Basque conflict,1959-07-31T00:00:00Z,1959-07-31T00:00:00Z,Francoist Spain,France,Spain,,,,,,,,,,,,,,,,,
Rhodesian Bush War,1964-07-04T00:00:00Z,1964-07-04T00:00:00Z,South Africa,,,,,,,,,,,,,,,,,,,
Casamance conflict,1982-01-01T00:00:00Z,1982-01-01T00:00:00Z,Senegal,,,,,,,,,,,,,,,,,,,
Ten-Day War,1991-06-27T00:00:00Z,1991-06-27T00:00:00Z,Slovenia,,,,,,,,,,,,,,,,,,,
Six-Day War,1967-06-05T00:00:00Z,1967-06-05T00:00:00Z,Syria,Lebanon,Egypt,Jordan,Israel,Iraq,,,,,,,,,,,,,,
Kargil War,1999-05-03T00:00:00Z,1999-05-03T00:00:00Z,India,Pakistan,,,,,,,,,,,,,,,,,,
War over Water,1964-11-01T00:00:00Z,1964-11-01T00:00:00Z,Jordan,Israel,Syria,Lebanon,,,,,,,,,,,,,,,,
Football War,1967-07-14T00:00:00Z,1967-07-14T00:00:00Z,El Salvador,Honduras,,,,,,,,,,,,,,,,,,
Iraq War troop surge of 2007,2007-01-10T00:00:00Z,2007-01-10T00:00:00Z,United States of America,,,,,,,,,,,,,,,,,,,
Libyan–Egyptian War,1977-07-21T00:00:00Z,1977-07-21T00:00:00Z,Egypt,Libya,,,,,,,,,,,,,,,,,,
Second Kurdish–Iraqi War,1974-01-01T00:00:00Z,1974-01-01T00:00:00Z,Ba'athist Iraq,,,,,,,,,,,,,,,,,,,
Cenepa War,1995-01-26T00:00:00Z,1995-01-26T00:00:00Z,Ecuador,Peru,,,,,,,,,,,,,,,,,,
Bangladesh Liberation War,1971-03-26T00:00:00Z,1971-03-26T00:00:00Z,Pakistan,India,,,,,,,,,,,,,,,,,,
Djiboutian–Eritrean border conflict,2008-06-10T00:00:00Z,2008-06-10T00:00:00Z,Eritrea,Djibouti,,,,,,,,,,,,,,,,,,
Paquisha,1981-01-28T00:00:00Z,1981-01-28T00:00:00Z,Peru,Ecuador,,,,,,,,,,,,,,,,,,
Indo-Pakistani War of 1971,1971-12-03T00:00:00Z,1971-12-03T00:00:00Z,India,Pakistan,,,,,,,,,,,,,,,,,,
Shifta War,1963-01-01T00:00:00Z,1963-01-01T00:00:00Z,Kenya,Somali Republic,,,,,,,,,,,,,,,,,,
1948 Arab–Israeli War,1948-05-15T00:00:00Z,1948-05-15T00:00:00Z,Israel,,,,,,,,,,,,,,,,,,,
Dirty War,1954-01-01T00:00:00Z,1954-01-01T00:00:00Z,Mexico,,,,,,,,,,,,,,,,,,,
Ifni War,1957-10-23T00:00:00Z,1957-10-23T00:00:00Z,Francoist Spain,,,,,,,,,,,,,,,,,,,
Iran–Israel proxy conflict,2005-08-03T00:00:00Z,2005-08-03T00:00:00Z,Iran,Israel,,,,,,,,,,,,,,,,,,
Toyota War,1986-12-16T00:00:00Z,1986-12-16T00:00:00Z,France,,,,,,,,,,,,,,,,,,,
Indo-Pakistani War of 1947,1947-10-22T00:00:00Z,1947-10-22T00:00:00Z,Dominion of Pakistan,Dominion of India,,,,,,,,,,,,,,,,,,
Algerian Islamic Front War,1991-01-01T00:00:00Z,1991-01-01T00:00:00Z,Algeria,,,,,,,,,,,,,,,,,,,
Greek Civil War,1946-03-30T00:00:00Z,1946-03-30T00:00:00Z,Kingdom of Greece,,,,,,,,,,,,,,,,,,,
Libyan Civil Wars,2011-02-15T00:00:00Z,2011-02-15T00:00:00Z,Great Socialist People's Libyan Arab Jamahiriya,,,,,,,,,,,,,,,,,,,
Second Cambodia Civil,1993-01-01T00:00:00Z,1993-01-01T00:00:00Z,Cambodia,,,,,,,,,,,,,,,,,,,
Second Rwanda War,1994-01-01T00:00:00Z,1994-01-01T00:00:00Z,Rwanda,,,,,,,,,,,,,,,,,,,
Second Liberia War,1992-01-01T00:00:00Z,1992-01-01T00:00:00Z,Liberia,Nigeria,,,,,,,,,,,,,,,,,,
1991–1992 South Ossetia War,1991-01-05T00:00:00Z,1991-01-05T00:00:00Z,Republic of North Ossetia-Alania,,,,,,,,,,,,,,,,,,,
Third Rwanda War,1997-01-01T00:00:00Z,1997-01-01T00:00:00Z,Rwanda,,,,,,,,,,,,,,,,,,,
