Month,Dollars per Million Btu
Apr 2022,6.71
Mar 2022,4.98
Feb 2022,4.46
Jan 2022,4.26
Dec 2021,3.86
Nov 2021,5.1
Oct 2021,5.58
Sep 2021,5.12
Aug 2021,4.03
Jul 2021,3.82
Jun 2021,3.27
May 2021,2.96
Apr 2021,2.69
Mar 2021,2.62
Feb 2021,2.92
Jan 2021,2.65
Dec 2020,2.58
Nov 2020,2.87
Oct 2020,2.84
Sep 2020,2.28
Aug 2020,2.34
Jul 2020,1.77
Jun 2020,1.7
May 2020,1.81
Apr 2020,1.76
Mar 2020,1.73
Feb 2020,1.84
Jan 2020,2.03
Dec 2019,2.283
Nov 2019,2.625
Oct 2019,2.339
Sep 2019,2.508
Aug 2019,2.174
Jul 2019,2.303
Jun 2019,2.33
May 2019,2.593
Apr 2019,2.598
Mar 2019,2.805
Feb 2019,2.68
Jan 2019,3.11
Dec 2018,3.903
Nov 2018,4.11
Oct 2018,3.208
Sep 2018,2.897
Aug 2018,2.908
Jul 2018,2.793
Jun 2018,2.943
May 2018,2.834
Apr 2018,2.724
Mar 2018,2.701
Feb 2018,2.657
Jan 2018,3.153
Dec 2017,2.776
Nov 2017,3.064
Oct 2017,2.916
Sep 2017,3.006
Aug 2017,2.905
Jul 2017,2.955
Jun 2017,2.994
May 2017,3.236
Apr 2017,3.189
Mar 2017,2.992
Feb 2017,2.907
Jan 2017,3.291
Dec 2016,3.591
Nov 2016,2.875
Oct 2016,3.064
Sep 2016,2.903
Aug 2016,2.722
Jul 2016,2.761
Jun 2016,2.634
May 2016,2.083
Apr 2016,2.014
Mar 2016,1.812
Feb 2016,1.929
Jan 2016,2.233
Dec 2015,2.044
Nov 2015,2.281
Oct 2015,2.378
Sep 2015,2.639
Aug 2015,2.753
Jul 2015,2.805
Jun 2015,2.769
May 2015,2.856
Apr 2015,2.591
Mar 2015,2.747
Feb 2015,2.755
Jan 2015,2.929
Dec 2014,3.509
Nov 2014,4.235
Oct 2014,3.801
Sep 2014,3.921
Aug 2014,3.899
Jul 2014,4.025
Jun 2014,4.594
May 2014,4.536
Apr 2014,4.608
Mar 2014,4.486
Feb 2014,5.163
Jan 2014,4.542
Dec 2013,4.277
Nov 2013,3.64
Oct 2013,3.654
Sep 2013,3.618
Aug 2013,3.413
Jul 2013,3.641
Jun 2013,3.806
May 2013,4.068
Apr 2013,4.161
Mar 2013,3.773
Feb 2013,3.314
Jan 2013,3.35
Dec 2012,3.444
Nov 2012,3.687
Oct 2012,3.5
Sep 2012,2.918
Aug 2012,2.807
Jul 2012,2.963
Jun 2012,2.498
May 2012,2.493
Apr 2012,2.048
Mar 2012,2.296
Feb 2012,2.526
Jan 2012,2.708
Dec 2011,3.246
Nov 2011,3.558
Oct 2011,3.624
Sep 2011,3.849
Aug 2011,3.984
Jul 2011,4.353
Jun 2011,4.516
May 2011,4.336
Apr 2011,4.272
Mar 2011,4.069
Feb 2011,4.036
Jan 2011,4.499
Dec 2010,4.283
Nov 2010,4.042
Oct 2010,3.6
Sep 2010,3.898
Aug 2010,4.22
Jul 2010,4.59
Jun 2010,4.785
May 2010,4.155
Apr 2010,4.088
Mar 2010,4.301
Feb 2010,5.215
Jan 2010,5.599
Dec 2009,5.344
Nov 2009,4.628
Oct 2009,4.78
Sep 2009,3.462
Aug 2009,3.305
Jul 2009,3.551
Jun 2009,3.935
May 2009,3.934
Apr 2009,3.561
Mar 2009,4.002
Feb 2009,4.382
Jan 2009,5.07
Dec 2008,5.794
Nov 2008,6.7
Oct 2008,6.727
Sep 2008,7.485
Aug 2008,8.301
Jul 2008,11.067
Jun 2008,12.784
May 2008,11.381
Apr 2008,10.288
Mar 2008,9.624
Feb 2008,8.642
Jan 2008,7.991
Dec 2007,7.178
Nov 2007,7.778
Oct 2007,7.223
Sep 2007,6.188
Aug 2007,6.137
Jul 2007,6.399
Jun 2007,7.503
May 2007,7.821
Apr 2007,7.629
Mar 2007,7.221
Feb 2007,7.546
Jan 2007,6.775
Dec 2006,7.161
Nov 2006,7.995
Oct 2006,6.633
Sep 2006,5.218
Aug 2006,6.989
Jul 2006,6.222
Jun 2006,6.385
May 2006,6.372
Apr 2006,7.264
Mar 2006,6.979
Feb 2006,7.52
Jan 2006,9.136
Dec 2005,13.425
Nov 2005,11.695
Oct 2005,13.454
Sep 2005,12.111
Aug 2005,9.427
Jul 2005,7.579
Jun 2005,7.206
May 2005,6.486
Apr 2005,7.15
Mar 2005,7.045
Feb 2005,6.203
Jan 2005,6.186
Dec 2004,6.828
Nov 2004,7.608
Oct 2004,7.371
Sep 2004,5.219
Aug 2004,5.471
Jul 2004,6.064
Jun 2004,6.334
May 2004,6.398
Apr 2004,5.765
Mar 2004,5.542
Feb 2004,5.363
Jan 2004,6.272
Dec 2003,6.469
Nov 2003,4.834
Oct 2003,4.986
Sep 2003,4.667
Aug 2003,4.978
Jul 2003,5.034
Jun 2003,5.925
May 2003,5.926
Apr 2003,5.358
Mar 2003,5.786
Feb 2003,6.657
Jan 2003,5.381
Dec 2002,4.838
Nov 2002,4.04
Oct 2002,4.088
Sep 2002,3.569
Aug 2002,3.092
Jul 2002,2.942
Jun 2002,3.259
May 2002,3.563
Apr 2002,3.41
Mar 2002,3.015
Feb 2002,2.263
Jan 2002,2.19
Dec 2001,2.686
Nov 2001,2.786
Oct 2001,2.618
Sep 2001,2.213
Aug 2001,2.935
Jul 2001,3.167
Jun 2001,3.782
May 2001,4.244
Apr 2001,5.189
Mar 2001,5.189
Feb 2001,5.675
Jan 2001,7.825
Dec 2000,8.618
Nov 2000,5.74
Oct 2000,5.079
Sep 2000,5.13
Aug 2000,4.46
Jul 2000,3.972
Jun 2000,4.303
May 2000,3.596
Apr 2000,3.028
Mar 2000,2.828
Feb 2000,2.614
Jan 2000,2.385
Dec 1999,2.423
Nov 1999,2.549
Oct 1999,2.883
Sep 1999,2.636
Aug 1999,2.802
Jul 1999,2.307
Jun 1999,2.346
May 1999,2.272
Apr 1999,2.153
Mar 1999,1.801
Feb 1999,1.761
Jan 1999,1.831
Dec 1998,1.927
Nov 1998,2.321
Oct 1998,2.201
Sep 1998,2.04
Aug 1998,1.855
Jul 1998,2.147
Jun 1998,2.168
May 1998,2.16
Apr 1998,2.465
Mar 1998,2.253
Feb 1998,2.263
Jan 1998,2.101
Dec 1997,2.406
Nov 1997,3.092
Oct 1997,3.243
Sep 1997,2.873
Aug 1997,2.462
Jul 1997,2.134
Jun 1997,2.161
May 1997,2.253
Apr 1997,2.005
Mar 1997,1.899
Feb 1997,2.065
Jan 1997,3.067
Dec 1996,3.645
Nov 1996,3.023
Oct 1996,2.481
Sep 1996,1.933
Aug 1996,2.049
Jul 1996,2.521
Jun 1996,2.544
